Ticker,Company Name,Sector
AAT,American Assets Trust,Diversified
ABR,"Arbor Realty Trust, Inc.",Mortgage
ACR,ACRES Commercial Realty Corp,Mortgage
ACRE,Ares Commercial Real Estate,Mortgage
ADC,Agree Realty Corporation,Retail
AGNC,AGNC Investment Corp,Mortgage
AHH,"Armada Hoffler Properties, Inc.",Diversified
AHR,"American Healthcare REIT, Inc.",Health Care
AHT,Ashford Hospitality Trust,Lodging/Resorts
AKR,Acadia Realty Trust,Retail
ALEX,"Alexander & Baldwin, Inc.",Diversified
ALX,"Alexander's, Inc.",Diversified
AMH,AMH,Residential
AMT,American Tower Corporation,Infrastructure
AOMR,"Angel Oak Mortgage, Inc.",Mortgage
APLE,"Apple Hospitality REIT, Inc.",Lodging/Resorts
ARE,"Alexandria Real Estate Equities, Inc.",Health Care
ARI,"Apollo Commercial RE Finance, Inc.",Mortgage
ARR,ARMOUR Residential REIT,Mortgage
AVB,"AvalonBay Communities, Inc.",Residential
BDN,Brandywine Realty Trust,Office
BHR,"Braemar Hotels & Resorts, Inc.",Lodging/Resorts
BNL,"Broadstone Net Lease, Inc.",Diversified
BRSP,"BrightSpire Capital, Inc.",Mortgage
BRX,Brixmor Property Group Inc.,Retail
BXMT,"Blackstone Mortgage Trust, Inc.",Mortgage
BXP,BXP Inc,Office
CCI,Crown Castle Inc.,Infrastructure
CDP,COPT Defense Properties,Office
CHCT,Community Healthcare Trust,Health Care
CHMI,Cherry Hill Mortgage Investment Corporation,Mortgage
CIM,Chimera Investment Corporation,Mortgage
CIO,City Office REIT,Office
CLDT,Chatham Lodging Trust,Lodging/Resorts
CLPR,Clipper Realty Inc,Residential
CMCT,Creative Media & Community Trust,Office
COLD,Americold Realty Trust Inc,Industrial
CPT,Camden Property Trust,Residential
CSR,Centerspace,Residential
CTO,"CTO Realty Growth, Inc.",Retail
CTRE,"CareTrust REIT, Inc.",Health Care
CUBE,CubeSmart,Self Storage
CUZ,Cousins Properties Inc,Office
DBRG,"DigitalBridge Group, Inc.",Infrastructure
DEA,Easterly Government Properties Inc,Office
DEI,Douglas Emmett Inc,Office
DHC,Diversified Healthcare Trust,Health care
DLR,Digital Realty Trust Inc,Data Centers
DRH,DiamondRock Hospitality Company,Lodging/Resorts
DX,Dynex Capital Inc,Mortgage
EARN,Ellington Credit Company,Mortgage
EFC,Ellington Financial Inc,Residential
EGP,EastGroup Properties Inc,Industrial
ELME,Elme Communities,Residential
ELS,Equity Lifestyle Properties Inc,Residential
EPR,EPR Properties,Specialty
EQC,Equity Commonwealth,Office
EQIX,Equinix Inc,Data Centers
EQR,Equity Residential,Residential
ESRT,Empire State Realty Trust Inc.,Office
ESS,Essex Property Trust Inc,Residential
EXR,Extra Space Storage Inc,Self Storage
FBRT,Franklin BSP Realty Trust Inc,Mortgage
FCPT,Four Corners Property Trust Inc,Retail
FPI,Farmland Partners Inc,Specialty
FR,"First Industrial Realty Trust, Inc.",Industrial
FRT,Federal Realty Investment Trust,Retail
FSP,Franklin Street Properties Corp,Office
GEO,The Geo Group Inc,Specialty
GLPI,"Gaming & Leisure Properties, Inc.",Specialty
GMRE,Global Medical REIT Inc,Health Care
GNL,Global Net Lease Inc,Diversified
GOOD,Gladstone Commercial Corp,Diversified
GPMT,Granite Point Mortgage Trust Inc,Mortgage
GTY,Getty Realty Corp,Retail
HPP,"Hudson Pacific Properties, Inc.",Office
HR,Healthcare Realty Trust Incorporated,Health Care
